data_year,criminal_act_id,offense_id
2024,6,240455487
2024,6,240455489
2024,3,240455516
2024,3,240455419
2024,3,240455455
2024,3,240455521
2024,3,240455554
2024,1,240455555
2024,3,240455390
2024,1,240455394
2024,1,240455422
2024,1,240455423
2024,1,240455468
2024,6,240455513
2024,6,240455528
2024,6,240455574
2024,6,240455576
2024,1,240455524
2024,1,240455525
2024,3,240455544
2024,1,240455546
2024,3,240455563
2024,6,240455431
2024,6,240455547
2024,6,243573732
2024,6,243573733
2024,2,243573607
2024,1,243573659
2024,1,243573660
2024,3,243573676
2024,2,243573736
2024,1,243573737
2024,1,243573588
2024,1,243573589
2024,3,243573666
2024,1,243573667
2024,1,243573685
2024,3,243573629
2024,1,243573630
2024,6,243573648
2024,8,230371735
2024,5,230371844
2024,3,220960950
2024,5,220960804
2024,8,225794419
2024,3,225747824
2024,5,225747860
2024,7,246076407
2024,5,227588660
2024,5,227588661
2024,8,227588746
2024,8,227588807
2024,5,227588808
2024,8,230369780
2024,3,233161734
2024,6,236655652
2024,1,233162012
2024,6,236655881
2024,5,236655765
2024,5,236717107
2024,5,236717137
2024,3,240531735
2024,8,240531763
2024,8,240531764
2024,8,240531822
2024,1,240531817
2024,1,240531818
2024,3,240531845
2024,5,240531881
2024,1,240532183
2024,1,240531873
2024,5,243607931
2024,5,243607961
2024,6,220943037
2024,6,220942995
2024,6,220943104
2024,9,220943139
2024,6,220943274
2024,3,220943127
2024,9,220943213
2024,6,220943375
2024,9,225772232
2024,3,220943324
2024,6,220943476
2024,3,220943546
2024,3,220943567
2024,6,230351938
2024,9,225772344
2024,6,225772388
2024,9,225772530
2024,14,225772531
2024,6,230351762
2024,8,225772582
2024,9,225772579
2024,3,225773002
2024,6,225773028
2024,2,225772923
2024,2,225772943
2024,6,225772985
2024,6,225725625
2024,3,225725759
2024,9,225725931
2024,6,225726060
2024,2,225725800
2024,6,225725910
2024,2,225725945
2024,3,225725942
2024,9,225726051
2024,6,225725882
2024,6,225726144
2024,6,227568922
2024,6,227569001
2024,6,230351764
2024,6,230351765
2024,2,240488346
2024,1,227569125
2024,8,227569082
2024,9,227569185
2024,14,227569259
2024,9,227569295
2024,6,227569410
2024,8,227569440
2024,9,227569364
2024,6,230351899
2024,1,230352015
2024,6,230352146
2024,12,230352051
2024,6,230352035
2024,9,230351932
2024,2,230352026
2024,8,233125554
2024,12,230352165
2024,3,230352158
2024,9,233125370
2024,12,230352373
2024,9,233125394
2024,9,233125426
2024,3,233125584
2024,9,233125659
2024,9,233125664
2024,8,233125889
2024,9,233125666
2024,6,233125713
2024,12,233125774
2024,6,233125973
2024,9,233125829
2024,6,233126093
2024,6,233126117
2024,9,233125946
2024,9,233126152
2024,9,236631475
2024,6,233126285
2024,1,236631446
2024,6,233126392
2024,7,233126393
2024,6,233126151
2024,6,233126193
2024,6,233126240
2024,6,233126355
2024,6,233126140
2024,8,233126304
2024,1,233126508
2024,1,233126556
2024,6,233126557
2024,6,233126510
2024,9,236631376
2024,9,236631453
2024,8,233126605
2024,6,233126769
2024,6,233126806
2024,6,233126743
2024,3,236631676
2024,6,233126840
2024,6,236631713
2024,6,233126872
2024,1,236631635
