data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,59966879,196413233,1,2024-06-19,2,N,26A,31,28,M,20,20,U,,,28,
2024,59966897,196413273,1,2024-06-19,2,N,26A,37,34,M,20,10,U,,,34,
2024,59966923,196413325,1,2024-06-19,1,N,26A,38,35,M,20,20,U,,,35,
2024,59966129,196411049,1,2024-06-19,2,N,26A,64,61,M,20,20,U,,,61,
2024,59966956,196413382,1,2024-06-19,2,N,26A,20,17,M,20,20,U,H,,17,
2024,59966841,196413177,1,2024-06-19,1,N,26A,58,55,M,20,20,U,,,55,
2024,59966866,196413213,1,2024-06-19,2,N,26A,40,37,M,20,20,U,,,37,
2024,59966884,196413247,1,2024-06-19,2,N,26A,39,36,M,20,20,U,,,36,
2024,59966898,196413276,1,2024-06-19,2,N,26A,28,25,M,20,20,U,,,25,
2024,56546042,185816183,1,2024-01-02,1,C,13A,28,25,M,20,20,,,,25,
2024,56546002,185816009,1,2024-01-02,1,N,35A,33,30,M,20,20,,,,30,
2024,56546012,185816075,1,2024-01-02,1,C,35A,32,29,M,20,40,,,,29,
2024,56546013,185816075,2,2024-01-02,1,C,35A,27,24,M,20,40,,,,24,
2024,56546038,185816165,1,2024-01-02,1,N,290,39,36,M,20,20,,,,36,
2024,56546056,185816233,1,2024-01-03,1,N,35A,32,29,M,20,20,N,,,29,
2024,56546029,185816149,1,2024-01-03,1,C,13B,33,30,M,20,20,,,,30,
2024,56546030,185816149,2,2024-01-03,1,C,13B,34,31,F,20,20,,,,31,
2024,56546045,185816191,1,2024-01-03,1,N,290,26,23,M,20,20,,,,23,
2024,56546050,185816215,1,2024-01-03,1,N,23C,25,22,F,20,20,,,,22,
2024,56546075,185816311,1,2024-01-03,3,C,13B,25,22,M,20,20,,,,22,
2024,56546082,185816356,1,2024-01-03,3,C,23C,44,41,M,20,20,R,,,41,
2024,56546109,185816553,1,2024-01-03,1,N,13B,27,24,F,20,20,,,,24,
2024,56546102,185816506,1,2024-01-03,1,C,13B,55,52,F,20,20,,,,52,
2024,56546128,185816691,1,2024-01-03,1,N,13B,59,56,M,20,20,R,,,56,
2024,56546139,185816789,1,2024-01-04,1,N,90J,38,35,M,10,20,,,,35,
2024,56546164,185816916,1,2024-01-04,3,C,23C,55,52,M,20,20,,,,52,
2024,56546181,185817058,1,2024-01-04,3,C,11D,33,30,M,20,20,,,,30,
2024,56546224,185817322,1,2024-01-05,1,N,13B,37,34,M,20,20,,,,34,
2024,59966914,196413304,1,2024-06-19,2,N,35A,35,32,M,20,20,U,,,32,
2024,59966942,196413351,1,2024-06-19,1,N,26A,36,33,M,20,20,U,,,33,
2024,59966969,196413401,1,2024-06-19,2,N,26A,30,27,M,20,20,U,,,27,
2024,59966970,196413401,2,2024-06-19,2,N,26A,30,27,F,20,20,U,,,27,
2024,59966999,196413453,1,2024-06-19,1,N,26A,36,33,M,20,20,U,,,33,
2024,59967038,196413526,1,2024-06-19,2,N,26A,23,20,M,20,20,U,,,20,
2024,59967006,196413468,1,2024-06-19,1,N,26A,40,37,M,20,20,U,,,37,
2024,59966839,196413173,1,2024-06-19,2,N,26A,24,21,M,20,20,U,,,21,
2024,59967018,196413486,1,2024-06-20,1,N,26A,26,23,M,20,20,U,,,23,
2024,59966850,196413195,1,2024-06-20,2,N,26A,57,54,M,20,20,U,,,54,
2024,59966873,196413226,2,2024-06-20,1,N,13A,29,26,M,20,20,U,,,26,
2024,59966891,196413263,1,2024-06-20,1,N,26A,31,28,M,20,20,U,,,28,
2024,59966909,196413299,1,2024-06-20,1,N,26A,49,46,M,20,20,U,,,46,
2024,59966935,196413338,1,2024-06-20,1,N,35A,27,24,M,20,20,U,,,24,
2024,59966977,196413421,1,2024-06-20,2,N,26A,42,39,F,20,20,U,,,39,
2024,59967007,196413466,1,2024-06-20,2,N,26A,33,30,M,20,20,U,,,30,
2024,59966858,196413204,1,2024-06-20,2,N,26A,60,57,M,20,20,U,,,57,
2024,59966880,196413234,1,2024-06-20,2,N,13B,79,76,M,10,20,U,,,76,
2024,59966899,196413278,1,2024-06-20,2,N,26A,63,60,M,20,20,U,,,60,
2024,59966917,196413313,1,2024-06-20,1,N,26A,48,45,F,20,20,U,,,45,
2024,59966951,196413369,1,2024-06-20,2,N,26A,69,66,M,10,10,U,,,66,
2024,59966983,196413426,1,2024-06-20,2,N,26A,65,62,F,20,20,U,,,62,
2024,59967011,196413474,2,2024-06-20,1,N,11D,27,24,M,10,20,U,,,24,
2024,59967026,196413506,1,2024-06-20,1,N,26A,54,51,M,20,20,U,,,51,
2024,59967064,196413578,1,2024-06-20,1,N,26A,24,21,M,20,20,U,,,21,
2024,59966972,196413408,1,2024-06-20,2,N,26A,45,42,M,20,20,U,,,42,
2024,59967024,196413500,1,2024-06-21,2,N,26A,26,23,M,20,20,U,,,23,
2024,59967043,196413539,2,2024-06-21,1,N,35A,29,26,M,20,20,U,,,26,
2024,59966157,196411114,1,2024-06-21,2,N,26A,21,18,M,20,20,U,,,18,
2024,59966892,196413266,1,2024-06-21,2,N,26A,58,55,F,20,20,U,,,55,
2024,59966907,196413295,1,2024-06-21,2,N,26A,41,38,M,20,20,U,,,38,
2024,59966928,196413329,1,2024-06-21,1,N,26A,38,35,M,20,20,U,,,35,
2024,59967002,196413463,1,2024-06-21,2,N,26A,43,40,M,20,20,U,,,40,
2024,59966872,196413224,1,2024-06-24,2,N,26A,33,30,M,20,20,U,,,30,
2024,59966888,196413256,1,2024-06-21,2,N,26A,26,23,M,10,20,U,,,23,
2024,59966903,196413285,1,2024-06-21,1,N,26A,37,34,F,10,20,U,,,34,
2024,59966933,196413335,1,2024-06-21,2,N,26A,38,35,M,20,20,U,,,35,
2024,59966955,196413381,1,2024-06-21,1,N,26A,25,22,M,10,20,U,,,22,
2024,59966987,196413435,1,2024-06-21,2,N,26A,52,49,M,20,20,U,,,49,
2024,62055572,202845297,3,2024-11-17,3,N,23B,22,19,M,20,20,U,,,19,
2024,62055582,202845313,1,2024-06-21,2,N,26A,26,23,F,20,20,U,,,23,
2024,62055551,202845252,1,2024-06-21,2,N,26A,31,28,M,20,20,U,,,28,
2024,62055560,202845272,1,2024-06-21,2,N,26A,35,32,M,20,20,U,,,32,
2024,59967085,196413621,1,2024-06-21,1,N,290,34,31,M,20,20,U,,,31,
2024,59966878,196413231,1,2024-06-22,1,N,290,26,23,M,20,20,U,,,23,
2024,59966893,196413268,1,2024-06-22,2,N,26A,40,37,M,20,20,U,,,37,
2024,59966936,196413337,1,2024-06-22,2,N,35A,38,35,M,20,20,U,,,35,
2024,59967022,196413496,1,2024-06-22,2,N,26A,27,24,M,20,20,U,,,24,
2024,59966140,196411088,4,2024-06-24,3,N,13B,64,61,M,20,20,U,,,61,
2024,59967044,196413542,1,2024-06-22,2,N,26A,35,32,M,20,20,U,,,32,
2024,59967067,196413584,1,2024-06-22,2,N,26A,27,24,M,20,20,U,,,24,
2024,59966162,196411123,1,2024-06-22,1,N,35A,31,28,M,20,20,U,,,28,
2024,59966887,196413254,1,2024-06-23,1,N,26A,23,20,M,10,20,U,,,20,
2024,59966915,196413307,1,2024-06-23,2,N,26A,42,39,M,20,20,U,,,39,
2024,59966958,196413385,1,2024-06-23,2,N,26A,22,19,M,20,20,U,,,19,
2024,59966976,196413420,1,2024-06-23,2,N,26A,20,17,M,20,20,U,H,,17,
2024,59967000,196413454,1,2024-06-23,2,N,26A,27,24,F,20,20,U,,,24,
2024,59967016,196413483,3,2024-06-23,1,N,26A,31,28,M,20,20,U,,,28,
2024,59967042,196413533,3,2024-06-23,2,N,26A,35,32,M,20,20,U,,,32,
2024,59967066,196413583,1,2024-06-23,2,N,26A,22,19,F,20,20,U,,,19,
