yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
36112024,3611,2024,GA0310800,GA0310800,,N,N,,I,CLAYTON STATE UNIVERSITY,CLAYTON JR COLLEGE PUBLIC SAFETY DEPT MORROW,Clayton State University,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,University or College,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,10,4,14,2,6,8,0,0,2018-01-01,2019-01-01,2019-01-01,2019-09-01,2019-09-01,2021-03-01,N,CLAYTON,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36142024,3614,2024,GA0320000,GA0320000,,N,N,,I,CLINCH,CLINCH CO SO HOMERVILLE,Clinch,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,4459,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,0,8,0,1,1,1.8,2.0,2018-01-01,2020-07-01,2020-07-01,2020-09-01,2020-09-01,2020-09-01,N,CLINCH,Not Specified,Y,Y,Y
36152024,3615,2024,GA0320100,GA0320100,,N,N,,I,HOMERVILLE,HOMERVILLE PD,Homerville,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,2325,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,1,6,0,1,1,2.2,3.0,2018-01-01,2018-12-01,2018-12-01,2019-03-01,2019-03-01,2021-04-01,N,CLINCH,Not Specified,Y,Y,Y
36162024,3616,2024,GA0330000,GA0330000,,N,N,,I,COBB,COBB CO SO MARIETTA,Cobb,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,0,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,401,62,463,120,183,303,0,0,2018-01-01,2019-08-01,2019-08-01,2020-03-01,2020-03-01,2020-03-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36172024,3617,2024,GA0330100,GA0330100,,N,N,,I,AUSTELL,AUSTELL PD,Austell,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,8244,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,0,18,7,6,13,3.0,3.8,2018-01-01,2020-01-01,2020-01-01,2021-03-01,2021-03-01,2021-03-01,N,"COBB, DOUGLAS","Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36182024,3618,2024,GA0330200,GA0330200,,N,N,,I,COBB COUNTY POLICE DEPT,COBB COUNTY POLICE DEPARTMENT,Cobb County Police Department,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,County,578227,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,19,9A,"MSA counties 100,000 or over",9,MSA Counties,Y,19,,Y,547,19,566,62,65,127,1.1,1.2,2018-01-01,2019-08-01,2019-08-01,2020-02-01,2020-02-01,2020-02-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36192024,3619,2024,GA0330300,GA0330300,,N,N,,I,MARIETTA,MARIETTA PD,Marietta,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,63354,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,112,24,136,27,27,54,2.2,3.0,2018-01-01,2019-09-01,2019-09-01,2020-03-01,2020-03-01,2020-03-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36202024,3620,2024,GA0330400,GA0330400,,N,N,,I,SMYRNA,SMYRNA PD,Smyrna,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,56700,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,74,12,86,16,39,55,1.6,2.5,2018-01-01,2019-07-01,2019-07-01,2019-11-01,2019-11-01,2019-11-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36212024,3621,2024,GA0330500,GA0330500,,N,N,,I,ACWORTH,ACWORTH PD,Acworth,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,22364,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,4,40,5,7,12,1.8,2.3,2018-01-01,2019-10-01,2019-10-01,2020-02-01,2020-02-01,2020-02-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
36222024,3622,2024,GA0330600,GA0330600,,N,N,,I,KENNESAW,KENNESAW PD,Kennesaw,,A,13,Georgia,GA,GA,5,South Atlantic,3,South,Region III,City,35138,23363,GAUCR0001,Georgia Bureau of Investigation Georgia Crime Information Center,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,54,4,58,11,8,19,1.8,2.2,2018-01-01,2019-10-01,2019-10-01,2020-01-01,2020-01-01,2020-01-01,N,COBB,"Atlanta-Sandy Springs-Roswell, GA",Y,Y,Y
