county_name,offense_name,offense_count,offense_rank
CLAYTON,Simple Assault,1715,1
CLAYTON,Destruction/Damage/Vandalism of Property,1653,2
CLAYTON,All Other Larceny,1117,3
CLAYTON,Theft From Motor Vehicle,801,4
CLAYTON,Drug/Narcotic Violations,746,5
"CLAYTON, FULTON",Drug/Narcotic Violations,605,1
"CLAYTON, FULTON",Theft From Motor Vehicle,478,2
"CLAYTON, FULTON",Destruction/Damage/Vandalism of Property,228,3
"CLAYTON, FULTON",Simple Assault,212,4
"CLAYTON, FULTON",All Other Larceny,193,5
CLINCH,Burglary/Breaking & Entering,14,1
CLINCH,All Other Larceny,12,2
CLINCH,Intimidation,6,3
CLINCH,Theft From Motor Vehicle,4,4
CLINCH,Motor Vehicle Theft,4,5
COBB,Simple Assault,4459,1
COBB,All Other Larceny,3414,2
COBB,Drug/Narcotic Violations,3269,3
COBB,Destruction/Damage/Vandalism of Property,2905,4
COBB,False Pretenses/Swindle/Confidence Game,2849,5
"COBB, DOUGLAS",Drug/Narcotic Violations,28,1
"COBB, DOUGLAS",Simple Assault,12,2
"COBB, DOUGLAS",Destruction/Damage/Vandalism of Property,12,3
"COBB, DOUGLAS",Theft From Motor Vehicle,9,4
"COBB, DOUGLAS",All Other Larceny,5,5
COFFEE,Simple Assault,216,1
COFFEE,All Other Larceny,156,2
COFFEE,Shoplifting,114,3
COFFEE,Destruction/Damage/Vandalism of Property,98,4
COFFEE,Intimidation,94,5
COLQUITT,All Other Larceny,263,1
COLQUITT,Shoplifting,198,2
COLQUITT,Simple Assault,144,3
COLQUITT,Theft From Motor Vehicle,113,4
COLQUITT,Destruction/Damage/Vandalism of Property,110,5
"COLQUITT, TIFT",Counterfeiting/Forgery,23,1
"COLQUITT, TIFT",All Other Larceny,6,2
"COLQUITT, TIFT",Criminal Sexual Contact,2,3
"COLQUITT, TIFT",Aggravated Assault,2,4
"COLQUITT, TIFT",Destruction/Damage/Vandalism of Property,1,5
COLUMBIA,All Other Larceny,492,1
COLUMBIA,Simple Assault,402,2
COLUMBIA,Drug/Narcotic Violations,354,3
COLUMBIA,Destruction/Damage/Vandalism of Property,286,4
COLUMBIA,Shoplifting,284,5
COOK,Destruction/Damage/Vandalism of Property,61,1
COOK,Drug/Narcotic Violations,61,2
COOK,All Other Larceny,40,3
COOK,Simple Assault,26,4
COOK,Burglary/Breaking & Entering,19,5
COWETA,Drug/Narcotic Violations,1191,1
COWETA,Simple Assault,875,2
COWETA,All Other Larceny,690,3
COWETA,Destruction/Damage/Vandalism of Property,546,4
COWETA,Aggravated Assault,459,5
"COWETA, FULTON",All Other Larceny,15,1
"COWETA, FULTON",Simple Assault,8,2
"COWETA, FULTON",Intimidation,6,3
"COWETA, FULTON",Theft From Motor Vehicle,3,4
"COWETA, FULTON",False Pretenses/Swindle/Confidence Game,3,5
CRAWFORD,All Other Larceny,46,1
CRAWFORD,Destruction/Damage/Vandalism of Property,30,2
CRAWFORD,Burglary/Breaking & Entering,25,3
CRAWFORD,Simple Assault,23,4
CRAWFORD,Intimidation,23,5
CRISP,All Other Larceny,184,1
CRISP,Theft From Motor Vehicle,145,2
CRISP,Simple Assault,104,3
CRISP,Drug/Narcotic Violations,80,4
CRISP,Shoplifting,75,5
DADE,Drug/Narcotic Violations,72,1
DADE,Simple Assault,35,2
DADE,All Other Larceny,21,3
DADE,Weapon Law Violations,13,4
DADE,Destruction/Damage/Vandalism of Property,13,5
DAWSON,Simple Assault,172,1
DAWSON,Shoplifting,137,2
DAWSON,All Other Larceny,105,3
DAWSON,Drug/Narcotic Violations,87,4
DAWSON,Impersonation,52,5
DECATUR,Simple Assault,243,1
DECATUR,Destruction/Damage/Vandalism of Property,227,2
DECATUR,All Other Larceny,189,3
DECATUR,Burglary/Breaking & Entering,128,4
DECATUR,Drug/Narcotic Violations,126,5
DEKALB,Simple Assault,9712,1
DEKALB,Theft From Motor Vehicle,6691,2
DEKALB,All Other Larceny,6359,3
DEKALB,Destruction/Damage/Vandalism of Property,5620,4
DEKALB,Motor Vehicle Theft,5216,5
"DEKALB, FULTON",Theft From Motor Vehicle,5458,1
"DEKALB, FULTON",Destruction/Damage/Vandalism of Property,3784,2
"DEKALB, FULTON",Motor Vehicle Theft,3195,3
"DEKALB, FULTON",Drug/Narcotic Violations,3174,4
"DEKALB, FULTON",Simple Assault,3128,5
"DEKALB, GWINNETT",All Other Larceny,197,1
"DEKALB, GWINNETT",Theft From Motor Vehicle,149,2
"DEKALB, GWINNETT",Simple Assault,140,3
"DEKALB, GWINNETT",Drug/Narcotic Violations,122,4
"DEKALB, GWINNETT",Shoplifting,105,5
DODGE,All Other Larceny,128,1
DODGE,Shoplifting,96,2
DODGE,Simple Assault,78,3
DODGE,Intimidation,56,4
DODGE,Theft From Motor Vehicle,46,5
DOUGHERTY,Simple Assault,928,1
DOUGHERTY,All Other Larceny,585,2
DOUGHERTY,Aggravated Assault,304,3
DOUGHERTY,Intimidation,273,4
DOUGHERTY,Destruction/Damage/Vandalism of Property,266,5
DOUGLAS,Simple Assault,1197,1
DOUGLAS,All Other Larceny,1042,2
DOUGLAS,Shoplifting,923,3
DOUGLAS,Destruction/Damage/Vandalism of Property,755,4
DOUGLAS,Drug/Narcotic Violations,693,5
EARLY,Destruction/Damage/Vandalism of Property,71,1
EARLY,All Other Larceny,51,2
EARLY,Simple Assault,50,3
EARLY,Burglary/Breaking & Entering,36,4
EARLY,Aggravated Assault,36,5
ECHOLS,Drug/Narcotic Violations,8,1
ECHOLS,Embezzlement,1,2
ECHOLS,Robbery,1,3
